,log2FoldChange,padj,baseMean,t,P.Value,B
225066_at,0.957424003,0.000367989,4.202416571,4.074931343,0.000118861,0.131185155
218923_at,-0.623199243,0.000368013,5.252945714,-4.074882785,0.000118881,0.131023408
236256_at,-2.094822574,0.000368262,2.913816286,-4.074658385,0.000118974,0.130275945
225599_s_at,-1.054330143,0.00036853,6.941603429,-4.07439849,0.000119081,0.129410278
213342_at,0.877636484,0.00036853,7.757754571,4.074389577,0.000119085,0.12938059
211082_x_at,0.359205685,0.000368934,2.949019143,4.07404454,0.000119228,0.128231386
203196_at,0.93347741,0.000368949,5.205006571,4.074003138,0.000119245,0.128093494
210307_s_at,0.538161463,0.000369481,4.348728857,4.073558672,0.000119429,0.12661322
220386_s_at,1.226349613,0.000370174,7.071250143,4.072989172,0.000119666,0.124716672
212028_at,0.452708629,0.000370673,8.216353429,4.072571746,0.000119839,0.123326665
1552937_s_at,-0.694855803,0.000370741,3.821957857,-4.072489115,0.000119874,0.12305152
228906_at,1.35682868,0.00037118,3.022364286,4.072105777,0.000120033,0.121775118
204477_at,0.451365055,0.00037118,6.092167857,4.072088704,0.000120041,0.121718273
218831_s_at,-0.655863902,0.000371187,8.603131143,-4.072053482,0.000120055,0.121601
226270_at,-0.762342843,0.000371257,6.461496286,-4.071969197,0.00012009,0.121320365
204202_at,-0.946595299,0.000371311,5.880748714,-4.071898228,0.00012012,0.121084074
208625_s_at,0.436367729,0.00037158,9.640159571,4.071659507,0.00012022,0.120289268
230097_at,0.80085386,0.000371655,9.822670857,4.071571921,0.000120256,0.119997661
218630_at,-0.308204214,0.000372697,2.685117286,-4.070735898,0.000120606,0.117214436
1557551_at,0.951895795,0.000373315,5.18894,4.070229192,0.000120818,0.115527721
223254_s_at,0.957395156,0.000373877,6.101446571,4.06976602,0.000121013,0.113986033
206790_s_at,-0.408326829,0.000374063,11.42723714,-4.069593407,0.000121085,0.113411513
224663_s_at,0.805267923,0.0003742,8.147014857,4.069458083,0.000121142,0.112961115
215440_s_at,-1.147841665,0.00037473,8.529333429,-4.069010496,0.000121331,0.111471477
222570_at,0.398177485,0.00037473,4.002131,4.068990935,0.000121339,0.111406376
224705_s_at,-0.495555576,0.000375056,9.225822571,-4.068710645,0.000121457,0.110473582
226430_at,-0.833807174,0.000375247,10.27438757,-4.068534211,0.000121532,0.109886438
205932_s_at,-0.816794424,0.000375371,5.291025286,-4.068409273,0.000121584,0.109470673
200809_x_at,-0.344581918,0.000375461,14.24467,-4.06831087,0.000121626,0.109143216
230563_at,1.889029352,0.000376505,7.158562857,4.067481154,0.000121977,0.106382356
220225_at,1.05994887,0.000376629,1.965782471,4.067356823,0.00012203,0.105968676
1553764_a_at,-1.04777582,0.000377009,6.455359286,-4.067036067,0.000122166,0.104901481
238850_at,1.097083701,0.000378102,4.682318286,4.066172606,0.000122532,0.102028901
204186_s_at,0.558269672,0.000378133,8.711685143,4.066108099,0.00012256,0.101814313
210649_s_at,-0.367334121,0.000378133,9.071369571,-4.066089669,0.000122568,0.101753004
200771_at,-0.755811026,0.000379002,10.34358586,-4.065398123,0.000122862,0.099452654
230593_at,-0.8824691,0.000379027,3.435758,-4.065349861,0.000122883,0.099292123
225079_at,-0.918772775,0.000379331,9.699956143,-4.065089315,0.000122994,0.098425518
200791_s_at,-0.446529874,0.000381625,11.05482314,-4.063321787,0.000123751,0.092547413
235782_at,-0.725990597,0.000381694,4.395643143,-4.063240168,0.000123786,0.092276017
202830_s_at,0.552368587,0.000381906,6.129655,4.06305018,0.000123867,0.091644296
1559477_s_at,-0.561644205,0.000382091,2.958328,-4.062881215,0.00012394,0.091082491
65770_at,-0.35544169,0.000382576,7.087471,-4.062485861,0.00012411,0.089768004
222411_s_at,0.460270328,0.000383231,11.09394829,4.061962747,0.000124336,0.088028854
1555360_a_at,0.383091253,0.000383303,6.625068571,4.061878778,0.000124372,0.087749705
218727_at,0.5509718,0.00038338,4.090837571,4.061791214,0.00012441,0.087458606
203073_at,-0.542082624,0.000383871,8.018803429,-4.06139252,0.000124582,0.086133237
214849_at,0.938547258,0.000383903,2.877651571,4.061339237,0.000124605,0.085956113
203421_at,-0.508557653,0.000384443,7.585205,-4.060904352,0.000124793,0.084510536
206796_at,-1.224726156,0.000384681,2.937391429,-4.060696218,0.000124883,0.083818723
217502_at,1.389962338,0.000384692,5.554201143,4.060657832,0.0001249,0.083691137
221240_s_at,0.306814096,0.000385761,4.609020571,4.059828322,0.00012526,0.080934179
1555860_x_at,1.268042019,0.000385854,5.770933429,4.059728654,0.000125303,0.080602944
202771_at,0.741705248,0.000385981,8.614069429,4.059604294,0.000125357,0.080189659
229937_x_at,1.202892666,0.000386932,7.236953143,4.058864842,0.000125679,0.077732395
204001_at,0.717701985,0.000387434,6.170964857,4.058461516,0.000125855,0.076392227
229968_at,1.265143835,0.000387486,6.939829714,4.058393211,0.000125885,0.076165271
